id	sentence	class	entity	nation	valence	dimension	commentary	source
8895	Gegen diese Vorwürfe verteidigte sich Bodmer in der, Anklagung des verderbten Geschmackes und trat zugleich mit dem einflußreichen sächsischen Hofpoeten Johann Ulrich König, welcher mit dem hervorragendsten Mitarbeiter des, Patrioten, mit Brockes, zerfallen war, sowie mit dem Leipziger Professor Krause in Beziehung, in der Absicht, eine literarische Verbindung zwischen Zürich und Deutschland, die zu Ehren des Opitz den Namen der Boberfeldischen Gesellschaft ' tragen sollte, herzustellen und in einer besonderen Zeitschrift Der Phantast sollte sie heißen die Hamburger und, die Tadlerinnen zu, striegeln.	0.0	Zürich	CHE		spatial		1892_-_Bächtold_CAB.txt
16902	Der schweizerische Schriftsteller solle, meint er, das Bewusstsein der staatlichen Selbständigkeit seiner Heimat und dasjenige ihres nationalen Zusammenhanges mit Deutschland in gleicher Stärke besitzen.	0.0	schweizerisch	CHE		spatial		1933_-_Ermatinger2_CAB.txt
1064	Vorworte bemerkt er, daß er den Grundsätzen und der Methode gefolgt, womit der Abbes Girard die französische Sprache behandelt habe, indem man sich vor allen Dingen der Gewohnheit entschlagen müsse, die deutsche Grammatik nach dem Geschmacke der lateinischen zu behandeln.	0.0	französisch	FRA		other		1861_-_Mörikofer2_CAB.txt
18140	Unter den bekannten finden sich Reichsdeutsche wie Martin Luther, Hans Sachs, Johann Fischart neben Schweizern wie Pamphilus Gengenbach, Benedikt Gletting, Heinrich Wirre.	0.0	Schweizer	CHE		other	Reichsdeutsche!	1933_-_Ermatinger2_CAB.txt
2425	Die idyllische Landschaftspoesie des Letzteren, jene duftige Mondscheinspoesie voll sanfter Schwermut, voll beschaulicher Schwärmerei, voll Natursinn und weicher, melaucholischer Anklänge, macht bis zu einem gewissen Grad auch ein Charakterzug unseres schweizerischen Dichters aus; das reine und züchtige Element dieser Dichtung, das Schiller zu der wohlwollenden Hoffnung verleitete, es werde Matthisson gelingen, seine Landschaften auch mit Figuren zu beleben und auf diesen reizenden Gervinus, Geschichte der deutschen Dichtung Grund handelnde Menschheit aufzutragen, ist auch das Element der Salischen Muse.	0.0	schweizerisch	CHE		spatial	we need to talk	1866_-_Weber_Bd_1_CAB.txt
7223	Weniger verbreitet ist das allegorische Drama, das irgend einen Punkt der Glaubenslehre zur Darstellung bringt; doch ist der berühmte lateinische Hecastus des Makropedius auch in Solothurn und in Basel aufgeführt worden.	0.0	Solothurn	CHE		other		1892_-_Bächtold_CAB.txt
18176	Er selber habe es in Venedig gefunden, viel Gefallen daran gehabt und Teile es nun seinem vielgeliebten Vaterland mit, weil es ein Spiegel von Zucht und Ehre sei und zugleich die Melancholie verscheuche.	0.0	Vaterland	CHE		other		1933_-_Ermatinger2_CAB.txt
20811	Das ist der eigentliche Sinn des Grabens zwischen der deutschen und der welschen Schweiz, dass in der welschen Schweiz sehr viel mehr sittliche Weltanschauung und sittliche Schwungkraft und im Zusammenhäng damit sehr viel mehr republikanisches und demokratisches, kurz schweizerisches Denken vorhanden ist als in der deutschen.	0.0	deutsch	DEU		spatial		1933_-_Ermatinger2_CAB.txt
8581	Er wurde bei dem hierher geflüchteten geheimen markgräflichen Archiv als Registrator, seit als Archivar angestellt, hatte auch die geretteten Kunst und Münzsammlungen zu überwachen, widmete sich mit großem Eifer der Wiederherstellung des Archivs sowie der Erforschung der badischen Landesgeschichte, war geschätzter Rechtsbeistand, Mitarbeiter an Jselins historischem Lexikon, Numismatiker, und starb hochgeehrt, auch wegen seines trefflichen Charakters außerordentlich beliebt, am J. Juni in Basel.	0.0	Basel	CHE		temporal		1892_-_Bächtold_CAB.txt
20538	Diese konstruktive Art, die bei Frey ebensosehr durch Anlage wie durch den Zwang rascher Arbeit bedingt ist, stellt ihn, trotzdem er stets vaterländische Stoffe behandelt, so öfter die Zeit von und den Untergang Berns, abseits von den anderen schweizerischen Schriftstellern der Mitte des Jahrhunderts und in die Nähe Auerbachs, Gutzkows oder gar Eugene Sues.	0.0	Bern	CHE		temporal		1933_-_Ermatinger2_CAB.txt
