id	sentence	class	entity	nation	valence	commentary	source
21552	Die Burgunder, welche stundenlang im Regen gewartet, schlossen aus der Haltung des Feindes, derselbe habe sie aus ihrer guten Stellung locken wollen.	1.0	Burgund	FRA	-1.0	new nation	1943_-_Korrodi_CAB.txt
16115	Es ist daher begreiflich, daß, soweit eine staatspolitische Leidenschaft mitspricht, der Schweizer sich mit Schillers Tell auseinandersetzt.	1.0	Schweizer	CHE	1.0		1924_-_Korrodi_CAB.txt
186	Gabriel Hörner, nachheriger Pfarrer an der Nydeckirche, ebenfalls von Gottsched angeregt, brachte i. J. eine deutsche Gesellschaft zu Stande.	1.0	deutsch	DEU	1.0		1861_-_Mörikofer2_CAB.txt
21710	Am . Januar, an einem stürmischen Abend, wurde er bestattet. Verteidigung Der Schweizerischen Muse Herren D. Albrecht Hallers von J. J. Breitinger oder Stadt des berühmten, aber mühseligen Kapitels über das Wunderbare in der Poesie aus Breitingers kritischer Dichthunst soll hier eine Probe der derben Schlagfertigkeit stehen, mit der der Zürcher Kritiker seinen Haller gegen das ganze kritische Korps Gottscheds verteidigt.	1.0	schweizerisch	CHE	-2.0		1943_-_Korrodi_CAB.txt
7690	Nach Zürich zurück führt der Name Jos Murers auch Jost, Jodocus, nicht aber Josias, wie er nach Füßlis Vorgang in der Literaturgeschichte fälschlich aufgeführt wird	1.0	Zürich	CHE	-1.0		1892_-_Bächtold_CAB.txt
20002	Was hätte dem Bürger einer Stadt, die seit ihrer Erwerbung durch Zürich auf eigene Schicksale verzichten musste, die Geschichte für Reize bieten sollen?	1.0	Zürich	CHE	-2.0		1933_-_Ermatinger2_CAB.txt
6171	Unglücklicherweise ist die Originalhandschrift verloren gegangen, nach welcher, wie man durch Eckehart weiß, die Kaiserin Gisela bei ihrem Besuch in St_Gallen eine Kopie herstellen ließ.	1.0	St_Gall	CHE	-2.0		1892_-_Bächtold_CAB.txt
2625	Besser, als alle diese schweizerische Augenweide, behagte mir daselbst die schöne Butter und der gewürzige Honig, die man auf dem weißesten Semmelbrot anderes kennt man kaum hier zu Lande zusammenstreicht.	1.0	schweizerisch	CHE	2.0		1866_-_Weber_Bd_1_CAB.txt
1882	In Betreff der akademischen Rede wollte Humboldt die französische Sprache bedenklich vorkommen; allein hinwieder findet er einen starken Grund dafür, damit die Franzosen selbst hören und nicht durch Sinnentstellungen mißstimmt werden.	1.0	französisch	FRA	-1.0		1861_-_Mörikofer2_CAB.txt
11822	Die Auflösung der Chiffre A. W. danke ich meinen verehrten Freunden Ludwig Sieber in Basel, gest.	1.0	Basel	CHE	1.0	oder del?	1892_-_Bächtold_CAB.txt
1040	Man verzeiht der Schweiz, daß sie nicht hat, was sie nicht leicht haben kann, ein gutes Drama.	1.0	Schweiz	CHE	1.0		1861_-_Mörikofer2_CAB.txt
12000	Eine Anzahl Artikel aus der Sulzärschen Theorie der schönen Künste sind in spätere Ausgaben der großen französischen Enzyklopädie übergegangen.	1.0	französisch	FRA	-1.0		1892_-_Bächtold_CAB.txt
13808	Das empfanden die Franzosen, welche des kapriziösen Rokokostiles satt waren, am allermeisten.	1.0	Franzose	FRA	-1.0		1910_-_Jenny-Rossel_Bd_1_CAB.txt
13648	Bodmer suchte seine Freundschaft und sorgte in Deutschland für das Bekanntwerden des neuen Sternes.	1.0	Deutschland	DEU	1.0		1910_-_Jenny-Rossel_Bd_1_CAB.txt
